N,tau,m_tau,N_records,W_over_kT_ln2,neglnP_direct,ledger_neglnP_over_N
10,3.000000000000002,10.602875205865583,1325,1325,1.9875,0.0015
10,3.0500000000000025,11.327602179263671,1415,1415,2.1225,0.0015
10,3.1000000000000023,12.08886162098295,1511,1511,2.2665,0.0015
10,3.150000000000002,12.887861080699649,1610,1610,2.415,0.0015
10,3.2000000000000024,13.725827743044086,1715,1715,2.5725000000000002,0.0015
10,3.2500000000000027,14.604008427600647,1825,1825,2.7375000000000003,0.0015000000000000002
10,3.3000000000000025,15.5236695889078,1940,1940,2.91,0.0015
10,3.3500000000000023,16.486097316458117,2060,2060,3.09,0.0015
10,3.4000000000000026,17.49259733469826,2186,2186,3.279,0.0015
10,3.450000000000003,18.544495003028945,2318,2318,3.477,0.0015
10,3.5000000000000027,19.64313531580499,2455,2455,3.6825,0.0015
10,3.5500000000000025,20.7898829023353,2598,2598,3.8970000000000002,0.0015
10,3.6000000000000028,21.986122026882875,2748,2748,4.122,0.0015
10,3.650000000000003,23.233256588664776,2904,2904,4.356,0.0015
10,3.700000000000003,24.53271012185216,3066,3066,4.599,0.0015
10,3.7500000000000027,25.885925795570266,3235,3235,4.8525,0.0015
10,3.800000000000003,27.294366413898445,3411,3411,5.1165,0.0015
10,3.850000000000003,28.759514415870093,3594,3594,5.391,0.0015
10,3.900000000000003,30.282871875472694,3785,3785,5.6775,0.0015
10,3.950000000000003,31.865960501647844,3983,3983,5.9745,0.0015
10,4.0000000000000036,33.510321638291245,4188,4188,6.282,0.0015
