N,member,idx,f0,c1,c2,c3,s1,s2,s3,c1_sym,c3_sym,rmse
8,scramble,10,0.016678243623816834,0.07676069142495386,0.10618248532879228,0.005837131950629394,1.7538736131328127e-07,2.684601694077611e-06,9.806186700788863e-06,,,1.3011033753143963e-08
8,scramble,11,0.14460558865482326,-0.012141758996698702,0.09684260799533435,-0.0005610191899016494,2.5039373220630657e-07,3.832701698879845e-06,1.3999912355922051e-05,,,1.8575348171711397e-08
8,scramble,12,0.008632475898109945,-1.3018140710237809,0.9904441304386549,-0.7006244552032698,9.057608263182609e-05,0.0013864209088702481,0.005064253035469475,,,6.719346591030584e-06
8,scramble,13,0.14756520987916436,-0.0029146149208794407,0.10050409041499872,-0.0022552333217330527,2.3755941643735788e-07,3.6362506798460264e-06,1.3282325320774276e-05,,,1.7623240138282343e-08
8,scramble,14,0.04985050344115477,0.10007390017124772,0.137798356547259,0.014164560941417019,2.252609440315525e-07,3.4480016543292054e-06,1.259469814146797e-05,,,1.671088340752442e-08
8,scramble,15,0.02440255369893952,0.07458783771128662,0.03097937016741552,-0.006395932692555389,7.687441407397546e-07,1.1766935810476232e-05,4.298170924509309e-05,,,5.7028943749433006e-08
8,scramble,16,0.07246132352434571,-0.00040181387678431464,0.0806262316981907,-0.0018507800930270507,3.759183718029458e-07,5.754069678797683e-06,2.1018194871930612e-05,,,2.7887337989072476e-08
8,scramble,17,0.09714135057755938,-0.03296830652929426,0.11311054795028923,-0.004627501458472641,1.5878775765902819e-07,2.43051654359961e-06,8.878076423207669e-06,,,1.1779599504877274e-08
8,scramble,18,0.07615645551715453,-0.05394042091823577,0.0821557689928785,-0.0035334320886937277,3.6074720926366265e-07,5.521849247695262e-06,2.0169951012086656e-05,,,2.67618720125335e-08
8,scramble,19,0.03029464450272891,-0.011818623852904168,0.10268850321828842,-0.006908840875646231,1.9266387746970617e-07,2.9490481410393816e-06,1.0772144234447639e-05,,,1.4292684455707782e-08
8,scramble,20,0.032858151437755174,-0.46106841735044923,0.16688492449982034,-0.046259652295177145,1.0185263633163874e-06,1.5590277315009835e-05,5.6947431123702475e-05,,,7.555892734998898e-08
8,scramble,21,0.04316349122406827,-0.01099075511888094,0.11556437078736861,-0.0033614034127174047,1.7726121146966583e-07,2.713284155952911e-06,9.91095664740997e-06,,,1.315004449742162e-08
8,scramble,22,0.021272884519294134,0.2858438259381655,0.1475493089402081,0.046931005758691816,1.1802403190353024e-06,1.806558429396326e-05,6.598911594083244e-05,,,8.755560556247943e-08
8,scramble,23,0.12210365458144917,0.004844897288978151,0.08036123000102384,-0.00032525951020735526,3.801627679186653e-07,5.819037376112223e-06,2.125550581857576e-05,,,2.8202206635877063e-08
10,level1_structured,-1,0.04535791210692036,-0.0011485990382999775,0.2609042800034675,-0.0025222556924795123,2.9113215279218736e-07,4.456272474447583e-06,1.6277662332711036e-05,3.424434937024614e-06,0.0008781139392692978,2.1597509867535553e-08
10,scramble,0,0.06450790611813213,-0.01764964704570419,0.2680580969160558,0.003637323547044423,3.5881474966576463e-09,5.4922696686913515e-08,2.006190411824651e-07,,,2.6618513352784203e-10
10,scramble,1,0.04140781610403219,0.026636478641283795,0.2644625502732752,-0.005312807943714157,2.0639571174426752e-07,3.159237206432937e-06,1.1539912958672373e-05,,,1.5311374502134562e-08
10,scramble,2,0.028656723154932923,-0.015197251280160551,0.26136663839914637,0.023247601813817836,5.863367089050742e-07,8.97488000412294e-06,3.278301922097421e-05,,,4.349712917252019e-08
10,scramble,3,0.06517380810311939,-0.007206579130011975,0.26446873922359204,0.00435854728097175,1.6682875535784651e-07,2.5535976817311245e-06,9.327661411001513e-06,,,1.237611735932746e-08
10,scramble,4,0.13759200388345286,0.012390948768005073,0.26384963914956816,0.0003321974968082168,2.4221726078160656e-07,3.7075469050910373e-06,1.354275281635264e-05,,,1.796878025888236e-08
10,scramble,5,0.03897835092981141,-0.0006040961540918878,0.26344520253819853,-0.0020730778198455695,2.77904514918237e-07,4.253800992014925e-06,1.5538084032250223e-05,,,2.0616223407874898e-08
10,scramble,6,0.12777020721798546,0.0010981203358496026,0.2637323211786737,0.0013169344281373635,2.6420832268788277e-07,4.044157488693473e-06,1.4772308111482224e-05,,,1.9600177450718504e-08
10,scramble,7,0.018569527414191593,0.06650061723535423,0.25772570996564514,0.04140265087016756,2.3329120710208196e-06,3.570918480727686e-05,0.00013043682939097733,,,1.7306604918327335e-07
10,scramble,8,0.024988377697283078,0.00586320741363007,0.26639862362092065,0.0058923026730855815,8.348970956245766e-08,1.2779519233946577e-06,4.668042631086095e-06,,,6.19364714209349e-09
10,scramble,9,0.07717134287665786,-0.03505281586020133,0.26691701141045304,0.004875997376614014,1.1304931537480101e-07,1.7304119367381287e-06,6.3207672700057435e-06,,,8.386513412924978e-09
10,scramble,10,0.08470742120885356,0.023528727405968702,0.2646892109513939,-0.0013556157150968705,1.1395931697769694e-07,1.744341058120963e-06,6.371646908932945e-06,,,8.454021478968259e-09
10,scramble,11,0.039449208056984264,-0.017429750665039438,0.2654784816312167,0.0006760320468610224,1.53319445614467e-08,2.3468147325417892e-07,8.572334387717688e-07,,,1.137393519673239e-09
10,scramble,12,0.06648934901648541,0.013563417832929461,0.2654626617115057,0.018250659201639735,6.855633528359153e-07,1.0493712458181875e-05,3.833093891594282e-05,,,5.0858213823821164e-08
10,scramble,13,0.08437024271776934,-0.009578791316294712,0.26406924349528155,0.004460527270856801,2.557401152459715e-07,3.914537179258815e-06,1.4298837146558695e-05,,,1.8971967230607346e-08
10,scramble,14,0.04726710130427051,0.006683740983657181,0.2606614644080878,0.010031533235566317,7.821880487095723e-07,1.1972717674349126e-05,4.373337955105528e-05,,,5.8026274110410454e-08
10,scramble,15,0.10989692207513706,-0.007739799624235467,0.26508060345089324,0.0012872882547011267,8.240506074099556e-08,1.261349529460609e-06,4.607398188017879e-06,,,6.113182949459089e-09
10,scramble,16,0.08751446055705626,-0.0019734955262529566,0.2644808190332212,-0.0002647081448836086,2.7253226494451084e-08,4.1715695742406867e-07,1.5237712980133382e-06,,,2.021768542192719e-09
10,scramble,17,0.02664558499460558,-0.05867110009769581,0.2663623846214141,0.03220675492874994,3.859336668594868e-07,5.907370793964419e-06,2.157816596934909e-05,,,2.8630318218962528e-08
10,scramble,18,0.06514066704580451,-0.04588010765617765,0.26256407858483055,0.0012531077937307407,5.055014076472996e-07,7.737558311881582e-06,2.826338878573245e-05,,,3.7500398135374354e-08
10,scramble,19,0.009811140338292886,-0.08718957135975822,0.25570773746333153,-0.07857946414625844,1.4744731550663794e-06,2.2569317996024915e-05,8.244014241171674e-05,,,1.09383138243386e-07
10,scramble,20,0.05654577285607595,-0.011350995568191672,0.2608139799635559,-0.011480776712725467,4.14383863321025e-07,6.342849411383486e-06,2.3168861764570222e-05,,,3.074088344825205e-08
10,scramble,21,0.1495338351608916,-0.014846882148066409,0.26232460191638607,0.0036613195682702747,4.968496177253873e-07,7.605127960531e-06,2.7779653431970387e-05,,,3.685856893025826e-08
10,scramble,22,0.13321103066736556,0.008277842869407694,0.2635418870478782,-0.0005167639663411096,2.1474282985243844e-07,3.2870040377830855e-06,1.2006613626094188e-05,,,1.5930601763629753e-08
10,scramble,23,0.06161775899254568,0.01580816576572684,0.2637392997167861,-0.0063134551116313,9.79673512238302e-08,1.4995568385911675e-06,5.477510634113673e-06,,,7.267664579333861e-09
